hour,temp
0,91.4
0.5,91.4
1,91.4
1.5,90.5
2,89.6
2.5,89.6
3,89.6
3.5,90.5
4,87.8
4.5,86.9
5,86
5.5,86
6,86
6.5,86.9
7,87.8
7.5,90.5
8,93.2
8.5,95.9
9,98.6
9.5,100.4
10,102.2
10.5,104
11,105.8
11.5,106.7
12,107.6
12.5,108.5
13,109.4
13.5,110.3
14,111.2
14.5,111.2
15,111.2
15.5,111.2
16,111.2
16.5,110.3
17,109.4
17.5,108.5
18,107.6
18.5,105.8
19,104
19.5,102.2
20,100.4
20.5,98.6
21,96.8
21.5,95.9
22,95
22.5,94.1
23,93.2
23.5,92.3
