hour,temp
0,94.1
0.5,93.2
1,92.3
1.5,91.4
2,91.4
2.5,91.4
3,90.5
3.5,89.6
4,89.6
4.5,89.6
5,90.5
5.5,87.8
6,86.9
6.5,86
7,86
7.5,86
8,86.9
8.5,87.8
9,90.5
9.5,93.2
10,95.9
10.5,98.6
11,100.4
11.5,102.2
12,104
12.5,105.8
13,106.7
13.5,107.6
14,108.5
14.5,109.4
15,110.3
15.5,111.2
16,111.2
16.5,111.2
17,111.2
17.5,111.2
18,110.3
18.5,109.4
19,108.5
19.5,107.6
20,105.8
20.5,104
21,102.2
21.5,100.4
22,98.6
22.5,96.8
23,95.9
23.5,95
