identifier,hour_local,mean,std,min,max,p05,p25,p75,p95
KEND,19,85.28173374613003,6.4015143368319585,70.0,99.0,75.0,81.0,90.0,96.0
KEND,20,81.41329479768787,6.239634614890136,67.0,97.0,71.0,77.0,86.0,91.0
KEND,21,79.57925072046109,5.651888682531896,65.0,92.0,71.0,75.0,84.0,89.0
KEND,22,77.15469613259668,5.627725444148981,62.0,89.0,69.0,73.0,82.0,87.0
KEND,23,75.89166666666667,5.463164826035778,60.0,89.0,68.0,72.0,80.0,85.0
KRND,0,78.10602409638554,3.2672193187346097,70.0,89.0,73.0,76.0,80.0,83.29999999999995
KRND,1,77.47587719298245,2.9973375178438446,69.0,88.0,73.0,75.0,79.0,82.0
KRND,2,76.90135396518376,2.900804837603037,68.0,87.0,73.0,75.0,79.0,81.0
KRND,3,76.81929824561404,2.6541699523295956,67.0,85.0,72.45,75.0,79.0,81.0
KRND,4,76.40487804878049,2.636558735156689,67.0,84.0,72.0,75.0,79.0,81.0
KRND,5,76.35319767441861,2.427155014219601,66.0,83.0,72.0,75.0,78.0,80.0
KRND,6,76.12889518413597,2.4095762077707334,66.0,83.0,72.0,75.0,78.0,79.0
KRND,7,76.34861111111111,2.4138850232723876,67.0,85.0,72.0,75.0,78.0,80.0
KRND,8,78.8078541374474,2.7576950603919146,71.0,88.0,73.0,77.0,81.0,83.0
KRND,9,81.52446675031368,3.5720813187411626,69.0,94.0,73.0,81.0,84.0,86.0
KRND,10,84.3013698630137,4.345646961139235,70.0,96.0,75.0,82.0,87.0,90.0
KRND,11,86.98761061946902,5.2316740730839895,71.0,100.0,75.0,86.0,90.0,93.0
KRND,12,88.62820512820512,6.308509709446082,71.0,101.0,77.0,86.0,93.0,97.0
KRND,13,90.21230158730158,7.54315401047618,71.0,104.0,75.0,87.0,95.0,99.0
KRND,14,91.49266247379455,7.659127624185917,72.0,104.0,75.0,88.0,97.0,101.0
KRND,15,93.60730593607306,7.51085509198687,73.0,106.0,77.0,91.0,99.0,103.0
KRND,16,93.11205073995772,8.139808709541551,72.0,107.0,77.0,89.0,99.0,104.0
KRND,17,92.3986013986014,8.47988813088009,72.0,106.0,75.4,87.0,99.0,103.0
KRND,18,90.55415617128463,8.512036285344633,72.0,106.0,75.0,84.0,97.0,101.19999999999999
KRND,19,87.35245901639344,7.108461634797239,72.0,101.0,75.0,82.0,93.0,97.0
KRND,20,83.92764857881137,5.850462574202296,72.0,97.0,74.3,79.0,88.5,92.0
KRND,21,82.54641909814323,4.851364599040746,72.0,94.0,74.8,79.0,86.0,90.0
KRND,22,80.71774193548387,4.43137639726006,72.0,92.0,73.0,77.0,84.0,87.0
KRND,23,79.36729222520107,3.661291624266396,70.0,90.0,73.0,77.0,82.0,85.0
